transaction_id,timestamp,customer_id,product_id,product_category,price,quantity,payment_method,store_location
NEW0000,2025-02-12T03:56:53.080712,C9450,P100,Sports,326.99,1,Cash,Phoenix
NEW0001,2025-02-12T03:58:55.080712,C8365,P669,Books,325.99,1,Debit Card,Chicago
NEW0002,2025-02-12T03:55:44.080712,C4002,P379,Books,433.74,3,Mobile Payment,Houston
NEW0003,2025-02-12T03:57:27.080712,C7569,P178,Home & Kitchen,105.01,3,Mobile Payment,Chicago
NEW0004,2025-02-12T03:58:35.080712,C3573,P128,Sports,23.39,4,Gift Card,Houston
NEW0005,2025-02-12T03:57:34.080712,C4404,P377,Electronics,244.62,2,Gift Card,Chicago
NEW0006,2025-02-12T03:57:21.080712,C5197,P236,Sports,351.45,1,Debit Card,Chicago
NEW0007,2025-02-12T03:59:19.080712,C9251,P787,Toys,365.81,3,Gift Card,San Francisco
NEW0008,2025-02-12T03:56:57.080712,C3632,P775,Clothing,7.63,2,Cash,Los Angeles
NEW0009,2025-02-12T03:56:24.080712,C7795,P874,Books,10.28,3,Debit Card,Houston
NEW0010,2025-02-12T03:57:54.080712,C8757,P801,Clothing,353.24,2,Gift Card,Chicago
NEW0011,2025-02-12T03:58:35.080712,C4525,P802,Home & Kitchen,83.03,5,Cash,Houston
NEW0012,2025-02-12T03:57:16.080712,C5922,P451,Books,124.67,2,Credit Card,Chicago
NEW0013,2025-02-12T03:57:38.080712,C3655,P651,Clothing,227.42,2,Gift Card,Houston
NEW0014,2025-02-12T04:00:03.080712,C7113,P375,Electronics,178.64,3,Debit Card,New York
NEW0015,2025-02-12T04:00:01.080712,C6088,P847,Toys,15.19,3,Credit Card,San Francisco
NEW0016,2025-02-12T03:58:34.080712,C6761,P148,Clothing,187.28,1,Debit Card,Phoenix
NEW0017,2025-02-12T03:58:44.080712,C4675,P439,Toys,241.57,3,Credit Card,Los Angeles
NEW0018,2025-02-12T03:58:31.080712,C3494,P175,Home & Kitchen,349.7,4,Cash,Los Angeles
NEW0019,2025-02-12T03:59:08.080712,C3919,P462,Clothing,63.04,5,Credit Card,Los Angeles
NEW0020,2025-02-12T04:00:18.080712,C8381,P605,Clothing,222.27,3,Debit Card,Chicago
NEW0021,2025-02-12T03:57:01.080712,C2715,P283,Clothing,52.45,5,Gift Card,Phoenix
NEW0022,2025-02-12T04:00:15.080712,C3741,P704,Clothing,262.34,3,Gift Card,New York
NEW0023,2025-02-12T03:56:40.080712,C7885,P527,Home & Kitchen,345.37,5,Mobile Payment,Phoenix
NEW0024,2025-02-12T03:55:24.080712,C2439,P114,Clothing,159.01,3,Mobile Payment,Houston
