transaction_id,timestamp,customer_id,product_id,product_category,price,quantity,payment_method,store_location
ADD0000,2025-02-12T04:04:55.080712,C7882,P943,Clothing,45.63,1,Gift Card,Chicago
ADD0001,2025-02-12T04:02:24.080712,C7335,P262,Home & Kitchen,365.6,5,Mobile Payment,Phoenix
ADD0002,2025-02-12T04:01:23.080712,C1167,P142,Books,142.55,4,Gift Card,Chicago
ADD0003,2025-02-12T04:03:46.080712,C7582,P213,Toys,225.69,3,Debit Card,San Francisco
ADD0004,2025-02-12T04:03:48.080712,C8449,P683,Clothing,260.74,4,Credit Card,New York
ADD0005,2025-02-12T04:01:00.080712,C5031,P757,Clothing,115.0,5,Cash,New York
ADD0006,2025-02-12T04:04:35.080712,C2319,P544,Sports,118.61,4,Mobile Payment,San Francisco
ADD0007,2025-02-12T04:01:01.080712,C7994,P143,Home & Kitchen,277.6,2,Mobile Payment,Los Angeles
ADD0008,2025-02-12T04:03:52.080712,C3745,P935,Toys,223.23,2,Credit Card,Chicago
ADD0009,2025-02-12T04:03:56.080712,C5143,P718,Clothing,226.69,3,Credit Card,New York
ADD0010,2025-02-12T04:03:13.080712,C6290,P583,Home & Kitchen,236.29,2,Credit Card,Chicago
ADD0011,2025-02-12T04:04:58.080712,C7711,P569,Electronics,101.05,1,Debit Card,Los Angeles
ADD0012,2025-02-12T04:01:20.080712,C4410,P881,Clothing,300.82,1,Debit Card,Chicago
ADD0013,2025-02-12T04:02:27.080712,C9885,P352,Sports,259.94,1,Gift Card,New York
ADD0014,2025-02-12T04:02:17.080712,C9077,P385,Home & Kitchen,449.37,4,Credit Card,Houston
ADD0015,2025-02-12T04:01:08.080712,C5469,P640,Clothing,250.76,1,Gift Card,New York
ADD0016,2025-02-12T04:04:16.080712,C3732,P164,Home & Kitchen,451.76,2,Mobile Payment,Houston
ADD0017,2025-02-12T04:04:28.080712,C9302,P754,Clothing,122.44,1,Debit Card,Los Angeles
ADD0018,2025-02-12T04:01:01.080712,C2246,P319,Home & Kitchen,71.8,5,Debit Card,New York
ADD0019,2025-02-12T04:03:02.080712,C8391,P546,Toys,316.66,2,Cash,Chicago
ADD0020,2025-02-12T04:02:46.080712,C2570,P839,Books,331.01,1,Credit Card,Chicago
ADD0021,2025-02-12T04:03:55.080712,C1883,P399,Toys,355.65,3,Cash,Phoenix
ADD0022,2025-02-12T04:04:01.080712,C3268,P836,Sports,455.55,4,Mobile Payment,San Francisco
ADD0023,2025-02-12T04:01:11.080712,C3937,P366,Clothing,248.13,4,Debit Card,Phoenix
ADD0024,2025-02-12T04:02:17.080712,C2330,P850,Books,180.02,2,Gift Card,Phoenix
ADD0025,2025-02-12T04:02:17.080712,C9197,P726,Home & Kitchen,373.83,2,Debit Card,Houston
ADD0026,2025-02-12T04:03:04.080712,C2693,P776,Toys,132.59,1,Gift Card,Los Angeles
ADD0027,2025-02-12T04:00:26.080712,C1317,P182,Sports,74.03,4,Gift Card,San Francisco
ADD0028,2025-02-12T04:01:20.080712,C3907,P414,Books,383.45,5,Cash,Phoenix
ADD0029,2025-02-12T04:01:24.080712,C2602,P275,Clothing,318.5,4,Mobile Payment,Phoenix
ADD0030,2025-02-12T04:03:11.080712,C9817,P297,Clothing,298.06,2,Cash,Chicago
ADD0031,2025-02-12T04:03:08.080712,C9070,P827,Home & Kitchen,8.93,4,Cash,New York
ADD0032,2025-02-12T04:01:00.080712,C3153,P138,Toys,427.68,5,Debit Card,Phoenix
ADD0033,2025-02-12T04:02:49.080712,C9235,P601,Clothing,389.19,2,Cash,Phoenix
ADD0034,2025-02-12T04:03:13.080712,C8571,P817,Sports,335.55,1,Gift Card,Houston
ADD0035,2025-02-12T04:03:40.080712,C5336,P499,Sports,383.04,1,Gift Card,Houston
ADD0036,2025-02-12T04:02:49.080712,C9631,P159,Toys,390.36,4,Debit Card,Phoenix
ADD0037,2025-02-12T04:05:19.080712,C2893,P770,Sports,114.93,2,Debit Card,Phoenix
ADD0038,2025-02-12T04:04:06.080712,C4528,P493,Home & Kitchen,66.36,5,Debit Card,Houston
ADD0039,2025-02-12T04:00:49.080712,C8038,P652,Sports,13.96,5,Debit Card,Phoenix
ADD0040,2025-02-12T04:01:09.080712,C6326,P594,Electronics,436.42,1,Gift Card,Chicago
ADD0041,2025-02-12T04:02:45.080712,C6797,P911,Electronics,441.73,3,Cash,San Francisco
ADD0042,2025-02-12T04:03:11.080712,C2148,P474,Books,432.79,4,Credit Card,Phoenix
ADD0043,2025-02-12T04:04:28.080712,C8206,P904,Clothing,342.46,2,Credit Card,Houston
ADD0044,2025-02-12T04:04:52.080712,C1764,P423,Home & Kitchen,403.16,1,Cash,New York
ADD0045,2025-02-12T04:04:25.080712,C9728,P430,Home & Kitchen,235.37,1,Debit Card,Houston
ADD0046,2025-02-12T04:04:36.080712,C2637,P440,Electronics,32.02,3,Debit Card,San Francisco
